tld_name,renewal_price_usd,registration_price_usd
recipes,35,35
red,13.15,13.15
rehab,21.5,21.5
reise,66,66
reisen,14,14
rent,45,45
rentals,21.5,21.5
repair,21.5,21.5
report,14,14
republican,21.5,21.5
rest,25,25
restaurant,35.5,35.5
review,6.98,4.98
reviews,16,16
rip,13,13
rocks,10,10
run,14,14
sale,21.5,21.5
salon,36,36
sarl,21.5,21.5
school,21.5,21.5
schule,14,14
science,6.98,4.98
security,2000,2000
services,21,21
shoes,35.5,35.5
shopping,21,21
show,21.5,21.5
singles,21,21
site,20,20
soccer,14,14
social,21.5,21.5
software,21.5,21.5
solar,35.5,35.5
solutions,15.5,15.5
space,15,15
storage,500,500
store,40,40
stream,3.98,2.98
studio,17.5,17.5
style,21.5,21.5
supplies,14,14
supply,14,14
support,15.5,15.5
surgery,35.5,35.5
systems,15.5,15.5
tax,35.5,35.5
taxi,35.5,35.5
team,21.5,21.5
tech,35,35
technology,15.5,15.5
tennis,35.5,35.5
theater,35.5,35.5
theatre,500,500
tienda,35.5,35.5
tips,15.5,15.5
tires,66,66
today,15.5,15.5
tools,21.5,21.5
tours,35.5,35.5
town,21.5,21.5
toys,35.5,35.5
trade,3.98,2.98
trading,12,12
training,21.5,21.5
tv,25,25
uk,4.76,4.76
university,35.5,35.5
us,6.5,6.5
vacations,21.5,21.5
ventures,35.5,35.5
vet,21.5,21.5
viajes,35,35
video,17.5,17.5
villas,35.5,35.5
vin,35.5,35.5
vision,21.5,21.5
voyage,35.5,35.5
watch,21.5,21.5
webcam,6.98,4.98
website,15,15
wiki,19,19
win,3.98,2.98
wine,35.5,35.5
works,21.5,21.5
world,21,21
wtf,21.5,21.5
xyz,8.56,8.56
zone,21.5,21.5
